id,name,day,time,locations,schedule_tracks
31556100,"VOICES",Wed 7/30,7:30 AM PDT,2025-07-30T14:30:00.000000+0000,,
31551938,"Executive Leadership Program",Wed 7/30,9:30 AM PDT,2025-07-30T16:30:00.000000+0000,,
31496788,"Covering civic life through a solutions lens (Presented by SJN)",Wed 7/30,10:30 AM PDT,2025-07-30T17:30:00.000000+0000,REDWOOD,Training
31496789,"Physical safety with the International Women’s Media Foundation (Presented by IWMF)",Wed 7/30,10:30 AM PDT,2025-07-30T17:30:00.000000+0000,METROPOLITAN A,Training
31515823,"AI tools to amplify your journalism without replacing your judgment",Wed 7/30,10:30 AM PDT,2025-07-30T17:30:00.000000+0000,CEDAR,Innovation|Training
31496790,"EXPO",Wed 7/30,12 PM PDT,2025-07-30T19:00:00.000000+0000,GRAND BALLROOM,
31496791,"Follow the money: Covering the new American oligarch (Presented by Brennan Center for Justice at NYU)",Wed 7/30,12:30 PM PDT,2025-07-30T19:30:00.000000+0000,ASPEN,Training
31496792,"Beyond the mushy middle: How to lead with your reporting (Presented by The Athletic)",Wed 7/30,12:30 PM PDT,2025-07-30T19:30:00.000000+0000,METROPOLITAN B,Training
31496794,"The evolving power and complexity of the AAPI electorate (Presented by APIAVote)",Wed 7/30,12:30 PM PDT,2025-07-30T19:30:00.000000+0000,REDWOOD,Community|Training
31515824,"Turn on the radio (Presented by The James B. McClatchy Foundation)",Wed 7/30,12:30 PM PDT,2025-07-30T19:30:00.000000+0000,METROPOLITAN A,Training
31535471,"Prying loose public records (Presented by Investigative Reporters & Editors)",Wed 7/30,12:30 PM PDT,2025-07-30T19:30:00.000000+0000,CEDAR,Training
31360096,"First timer orientation",Wed 7/30,2:30 PM PDT,2025-07-30T21:30:00.000000+0000,CEDAR,
31496793,"So, you're thinking of starting a nonprofit news organization",Wed 7/30,2:30 PM PDT,2025-07-30T21:30:00.000000+0000,ASPEN,Leadership|Innovation|Training
31554673,"Leading with purpose in challenging times: A fireside chat with Rep. Marilyn Strickland",Wed 7/30,3 PM PDT,2025-07-30T22:00:00.000000+0000,REDWOOD,Leadership
31517041,"History happy hour: A book signing for AAJA and UCLA’s “Intersections”",Wed 7/30,4 PM PDT,2025-07-30T23:00:00.000000+0000,METROPOLITAN A,Mixers/Receptions
31360094,"#AAJA25 opening reception (Presented by ABC and ESPN)",Wed 7/30,4:30 PM PDT,2025-07-30T23:30:00.000000+0000,METROPOLITAN A,Mixers/Receptions
31496795,"AAJA Asia chapter mixer",Wed 7/30,6:30 PM PDT,2025-07-31T01:30:00.000000+0000,Other,Mixers/Receptions
31526353,"AAJA Broadcast Futures fundraising reception",Wed 7/30,6:30 PM PDT,2025-07-31T01:30:00.000000+0000,Other,Mixers/Receptions
31556101,"VOICES",Thu 7/31,7:30 AM PDT,2025-07-31T14:30:00.000000+0000,,
31496796,"AARP breakfast dialogue: Intergenerational talk story with OGs across generations (Presented by AARP)",Thu 7/31,8 AM PDT,2025-07-31T15:00:00.000000+0000,METROPOLITAN B,Community
31496797,"Immigration in the second Trump era",Thu 7/31,9 AM PDT,2025-07-31T16:00:00.000000+0000,ASPEN,Community
31496798,"How to put subscribers at the center of your journalism and build a sustainable business (Presented by Seattle Times)",Thu 7/31,9 AM PDT,2025-07-31T16:00:00.000000+0000,REDWOOD,Community
31496799,"EXPO",Thu 7/31,9 AM PDT,2025-07-31T16:00:00.000000+0000,GRAND BALLROOM,
31496800,"Style and standards: Telling our stories with nuance and integrity (Presented by AAJA Style Guide Committee and AAJA Media Watch)",Thu 7/31,9 AM PDT,2025-07-31T16:00:00.000000+0000,CEDAR,Training
31496801,"NBCU Academy in conversation with Vicky Nguyen: Identity, resilience and breaking through",Thu 7/31,9 AM PDT,2025-07-31T16:00:00.000000+0000,WILLOW,Leadership
31536811,"The ABC News storytellers summit",Thu 7/31,10 AM PDT,2025-07-31T17:00:00.000000+0000,METROPOLITAN A,Training
31551970,"Seattle Times leadership salon (Presented by AAJA Executive Leadership Program)",Thu 7/31,10 AM PDT,2025-07-31T17:00:00.000000+0000,,
31496802,"Covering democracy under Trump",Thu 7/31,10:30 AM PDT,2025-07-31T17:30:00.000000+0000,ASPEN,Community
31496803,"Harnessing the power of local journalism to serve our communities",Thu 7/31,10:30 AM PDT,2025-07-31T17:30:00.000000+0000,CEDAR,Community|Training
31515825,"Breaking barriers: AAPI women leading in entrepreneurship and corporate America",Thu 7/31,10:30 AM PDT,2025-07-31T17:30:00.000000+0000,REDWOOD,Leadership
31522519,"Storytelling, visualization and data: Insights from the Field",Thu 7/31,10:30 AM PDT,2025-07-31T17:30:00.000000+0000,METROPOLITAN B,Innovation|Training
31496804,"NBCU Academy workshop: The art of the interview — asking questions that matter (plus HelloHive)",Thu 7/31,10:45 AM PDT,2025-07-31T17:45:00.000000+0000,WILLOW,Training
31496806,"News Nerds networking casual lunch gathering",Thu 7/31,11:30 AM PDT,2025-07-31T18:30:00.000000+0000,Other,Mixers/Receptions
31539225,"Seattle Times lunch and tour",Thu 7/31,11:30 AM PDT,2025-07-31T18:30:00.000000+0000,Other,
31564692,"Photo AG lunchtime hangout",Thu 7/31,12 PM PDT,2025-07-31T19:00:00.000000+0000,ASPEN,
31566942,"Audio Meetup",Thu 7/31,12 PM PDT,2025-07-31T19:00:00.000000+0000,Other,Mixers/Receptions
